sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
89,1,14,calib_14_left_center,-0.2147573083639145,-0.7961360216140747,0.9924855828285217,-0.35128161311149597,-1.7626196495257318e-05,358,158,0.8970000624656678,0.9500999450683594,"[311.53729248046875, 125.01040649414062, 406.32501220703125, 192.33132934570312]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0089_cycle_01_pose_14_calib_14_left_center.jpg
90,1,14,calib_14_left_center,-0.429514616727829,-0.832951545715332,1.0277671813964844,-0.35128161311149597,-1.7626196495257318e-05,338,160,0.9140000224113465,0.9590978026390076,"[291.363525390625, 127.10400390625, 384.67138671875, 194.11080932617188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0090_cycle_01_pose_14_calib_14_left_center.jpg
91,1,14,calib_14_left_center,-0.5553010702133179,-0.8544272780418396,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,321,163,0.9230000257492066,0.9425941109657288,"[268.18780517578125, 129.85931396484375, 373.84893798828125, 197.1845703125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0091_cycle_01_pose_14_calib_14_left_center.jpg
92,1,15,calib_15_right_center,-0.5537670850753784,-0.8544272780418396,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,303,164,0.9340000629425049,0.9121400117874146,"[254.1822967529297, 130.68450927734375, 353.07952880859375, 197.73992919921875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0092_cycle_01_pose_15_calib_15_right_center.jpg
93,1,15,calib_15_right_center,-0.3405437469482422,-0.8544272780418396,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,303,164,0.9340000629425049,0.9145468473434448,"[254.22088623046875, 130.68341064453125, 353.0162353515625, 197.75405883789062]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0093_cycle_01_pose_15_calib_15_right_center.jpg
94,1,15,calib_15_right_center,-0.13345633447170258,-0.8528932929039001,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,325,164,0.9240000128746033,0.9592984318733215,"[276.5671691894531, 130.50283813476562, 374.1771545410156, 198.09869384765625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0094_cycle_01_pose_15_calib_15_right_center.jpg
95,1,15,calib_15_right_center,0.07363107800483704,-0.8544272780418396,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,343,163,0.9160000562667847,0.9470759630203247,"[297.39752197265625, 130.37588500976562, 390.56121826171875, 197.46939086914062]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0095_cycle_01_pose_15_calib_15_right_center.jpg
96,1,15,calib_15_right_center,0.4187767505645752,-0.8544272780418396,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,362,163,0.9160000562667847,0.9535002112388611,"[314.09130859375, 129.43606567382812, 410.1983642578125, 196.740478515625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0096_cycle_01_pose_15_calib_15_right_center.jpg
97,1,15,calib_15_right_center,0.552233099937439,-0.8528932929039001,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,398,163,0.9160000562667847,0.9260480403900146,"[347.5777587890625, 128.70016479492188, 449.3511962890625, 198.29818725585938]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0097_cycle_01_pose_15_calib_15_right_center.jpg
98,1,16,calib_16_left_low_mid,0.5506991147994995,-0.8513593077659607,1.0477088689804077,-0.35128161311149597,-1.7626196495257318e-05,412,163,0.9080000400543213,0.8425074815750122,"[363.13934326171875, 128.62515258789062, 460.9619140625, 197.49252319335938]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0098_cycle_01_pose_16_calib_16_left_low_mid.jpg
99,1,16,calib_16_left_low_mid,0.4141748249530792,-0.8774369955062866,1.0753204822540283,-0.36201947927474976,-1.7626196495257318e-05,411,163,0.9090000271797181,0.8612639904022217,"[362.83526611328125, 128.68325805664062, 460.98675537109375, 197.53317260742188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0099_cycle_01_pose_16_calib_16_left_low_mid.jpg
